"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_validation_F1_I-INT","metric_best_validation_F1_I-OUT","metric_best_validation_F1_I-PAR","metric_test_F1_I-INT","metric_test_F1_I-OUT","metric_test_F1_I-PAR","env_BERT_WEIGHTS","env_LEARNING_RATE","env_NUM_EPOCHS","env_TRAIN_PATH"
"training","tk_zgerenkogyn4","","ex_000jd6nqctqp",0.7154255861885507,0.7444465600405695,0.8193412176658902,0.6775086505189813,0.7083842083841586,0.7457497123865026,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","2e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_2hql3o0xunaq","","ex_0brv0kxs5mjg",0.7250554792348651,0.7477613905714541,0.827194007284673,0.6973064607270173,0.6950263186163432,0.7417393602960116,"/scibert/scibert_scivocab_uncased/weights.tar.gz","2e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_o5zjn08dm1nm","","ex_0q0rrw4ym5l3",0.7371926535983706,0.7551533594938238,0.8267630609738964,0.7020244269700023,0.7185359370207047,0.7603092783504656,"/scibert/scibert_scivocab_uncased/weights.tar.gz","5e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_rv60atnpmryd","","ex_0ytw6jcu8ba1",0.7263516251924604,0.7478102131338673,0.8259607922528772,0.7212718161395736,0.7152471083069956,0.781285659946698,"/scibert/scibert_scivocab_uncased/weights.tar.gz","5e-06","3","data/pico/ebmnlp/train.txt"
"training","tk_ysaqpwiyp1rt","","ex_1h0n9aa8gw3g",0.7199870476806755,0.7435989564619188,0.8148779672349885,0.6786857624262352,0.7111464651486027,0.7454773869346235,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","5e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_ax8rvi5cyu6t","","ex_1h6wlo8kbmja",0.7265651918360229,0.7426108174053996,0.8228674090269158,0.720962199312665,0.7163226218343833,0.79323499491348,"/scibert/scibert_scivocab_uncased/weights.tar.gz","5e-06","3","data/pico/ebmnlp/train.txt"
"training","tk_jdetsn6d7d9s","","ex_1jn15qxna5iq",0.7243455917776922,0.7443908711024895,0.8134293052175764,0.6844847873591705,0.7044051480589647,0.7547506695574044,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","2e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_xm9v4bibla74","","ex_1myi36pyz4ji",0.7356368181267896,0.7530407706528643,0.82740759797611,0.6940514743479987,0.7126877596675758,0.759125997644854,"/scibert/scibert_scivocab_uncased/weights.tar.gz","2e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_nlmary1ht1cu","","ex_29mrurpfct4u",0.7185301494728187,0.743242814038381,0.813435584876545,0.6900544959127569,0.710297576439259,0.7547027840481065,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","2e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_0uja0dpad7h4","","ex_2ean29xm8ssg",0.7311284518658783,0.7483617511149253,0.8261668254183745,0.7147430497050894,0.7242538881882649,0.7792943600308542,"/scibert/scibert_scivocab_uncased/weights.tar.gz","1e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_x8776hywae9i","","ex_2gvzfeh1z5c3",0.7111643220592139,0.735793865187527,0.8125590179414043,0.6562135112593334,0.6994456990350558,0.726290667001583,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","5e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_yln42km419fa","","ex_2x91dmz2dkbw",0.7192041353749623,0.7444742497685667,0.8128690284486886,0.6816287271560907,0.7087301587301087,0.7523959723401175,"/scibert/bertbase_basevocab_uncased/weights.tar.gz","5e-05","4","data/pico/ebmnlp/train.txt"
