"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_validation_F1_I-INT","metric_best_validation_F1_I-OUT","metric_best_validation_F1_I-PAR","metric_test_F1_I-INT","metric_test_F1_I-OUT","metric_test_F1_I-PAR","env_BERT_WEIGHTS","env_LEARNING_RATE","env_NUM_EPOCHS","env_TRAIN_PATH"
"training","tk_iy4n18qqytkk","","ex_zeihh8jgm3hr",0.7229594214055132,0.7486541154503934,0.8167416651331908,0.671321695760549,0.6993229788928214,0.7454014968919961,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_4iopeggor5w8","","ex_xnes8shawdv5",0.7291320515863098,0.7506325645860029,0.8204988877756714,0.6823717948717457,0.7080876158381981,0.7364148225742596,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_cz6t4q1ixvcp","","ex_xlmcb7aesn35",0.7243765084472549,0.7526091155487211,0.818034884503957,0.6916256157634975,0.6962858010322344,0.7455848477091899,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","4","data/pico/ebmnlp/train.txt"
"training","tk_k70h2mvgizju","","ex_xgl1p2xwh3kd",0.7214755732801096,0.7503526540186208,0.8191430534376227,0.681549129037664,0.7249414877378153,0.7558300768939371,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-06","5","data/pico/ebmnlp/train.txt"
"training","tk_7qt0xhxxon0g","","ex_xdnlxc37rbsj",0.7148220766759337,0.7463758941570685,0.8232624791019325,0.6605914078481926,0.7036061588330133,0.7296650717702853,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_zu9sb03b5oqx","","ex_x0vipurcd1n9",0.7306413484268492,0.7454679199018709,0.8257851462460749,0.6612298156907026,0.6850486266965413,0.7483477376715312,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_ufbnfvbf5t29","","ex_vcpp532970td",0.7259698146442513,0.7480488929155638,0.8248686514885665,0.691644562334168,0.7026126782553891,0.7707539984767209,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-06","5","data/pico/ebmnlp/train.txt"
"training","tk_cax0ka6bivw7","","ex_utglgqiv9ke9",0.7257015087725867,0.7493673288624074,0.8252382960775544,0.6801391419578766,0.7129971299712499,0.7641569730282001,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","4","data/pico/ebmnlp/train.txt"
"training","tk_f853sa0lhnjn","","ex_ufan2ac06nua",0.7148788219653863,0.7447299288780176,0.8168054759415491,0.7036086882161294,0.7278002279556025,0.7565217391303849,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-06","3","data/pico/ebmnlp/train.txt"
"training","tk_u0vv171ob07m","","ex_u9683bgww4sy",0.7298477516817627,0.7491807492128268,0.826435967486206,0.6842021361389594,0.7096103896103398,0.7671370967741437,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_k1hk1p7d7qkc","","ex_tzesgy5rbtnd",0.7282349403627846,0.7472224006164808,0.8245993643924039,0.6924629878868953,0.7025029042137005,0.7730045754956287,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_amx9pbulq2yt","","ex_tyn7h5zgt75g",0.7271099795118153,0.7478056226942639,0.8249785161844244,0.6773307481014211,0.7051809210525819,0.760552668272228,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_5uh3ovb2vrcz","","ex_qz4ru0i7ealq",0.7273835506006304,0.7528987778125479,0.8220720341125012,0.6641669383762142,0.7052769649883468,0.7524429967426212,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_dxojmz5louo1","","ex_q07jqe0a74ed",0.7235468850352744,0.7475117119106083,0.8231173972625417,0.6886016451233347,0.7127265238879238,0.7723276850553712,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-06","4","data/pico/ebmnlp/train.txt"
"training","tk_gfsz3tnpx44h","","ex_pygoz3bnedu8",0.7274226962325904,0.7425481275196626,0.8161870624099197,0.6765605875152513,0.6851284219426627,0.7587141273555358,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_yv2dtehpf3q7","","ex_pj43bgjzyyx5",0.7261777679308249,0.7473337889600085,0.8206206374568503,0.6927210552026865,0.7017180707927466,0.7505992178629498,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","4","data/pico/ebmnlp/train.txt"
"training","tk_qjyr0fl5vrah","","ex_pf298b0gjvjj",0.7268528744402224,0.7502010565323162,0.8229444208739425,0.6993076162215134,0.7052990393553887,0.7569269521410079,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","4","data/pico/ebmnlp/train.txt"
"training","tk_duga2eia019b","","ex_oqaq3zm9ed74",0.7271691292046026,0.746040588937475,0.8159816116819404,0.6856224899597902,0.69694729058831,0.7385250128931942,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_dz7rhf1x7m3x","","ex_oi8dkheqsn5u",0.7252226205619947,0.7502554188082053,0.82317204034796,0.6704632907495282,0.7079717457113527,0.7599300524606045,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_d8l3nlqekcrc","","ex_lsk0aewaagpp",0.7278613367650106,0.7506559999999501,0.8214997130219968,0.6914609739826055,0.7136618839675112,0.7276032199428222,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_d2pcgsgtlklp","","ex_ifnznuq06u2y",0.7284040111150886,0.7471866760979501,0.8193938572565528,0.6787135278514094,0.6929760284726814,0.7445274272469241,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","2","data/pico/ebmnlp/train.txt"
"training","tk_2icdptotka7g","","ex_iezsvj82c66r",0.7157641395908044,0.7425101733473819,0.8121159059147885,0.7026754164562856,0.7281733746129534,0.760491299897596,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-06","2","data/pico/ebmnlp/train.txt"
"training","tk_rmvqopskw3kw","","ex_i6sm8agfqo7p",0.7294057031884248,0.748017338256492,0.8257239715976631,0.6868131868131376,0.7085032946344028,0.7721375488096238,"/scibert/scibert_basevocab_uncased/weights.tar.gz","1e-05","3","data/pico/ebmnlp/train.txt"
"training","tk_pfzaj3ysegj6","","ex_hx479tahz4id",0.721399950936249,0.7410701149236886,0.8185742971887051,0.6878761822871385,0.7025537776835363,0.737943352896097,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","5","data/pico/ebmnlp/train.txt"
"training","tk_lkyz9zn5pp71","","ex_hwfsxw0s0638",0.7232752084912313,0.7441191970487692,0.8168516821128604,0.6875491893593089,0.7035155034739728,0.7590602349412147,"/scibert/scibert_basevocab_uncased/weights.tar.gz","5e-05","4","data/pico/ebmnlp/train.txt"
"training","tk_68jmlu4tava3","","ex_hc7im4zgl9zx",0.7294559549259255,0.7485878441625013,0.8282220004397559,0.6881220968811714,0.6999894101450314,0.7602519604061722,"/scibert/scibert_basevocab_uncased/weights.tar.gz","2e-05","2","data/pico/ebmnlp/train.txt"
